version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
omp,strong,0.25,359,90,3,1,1,1,0.9333333333333333,0.08659500000067055,0.08659500000067055,0.0,6235830.0
omp,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.34236609999788925,0.34236609999788925,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.7718937000026926,0.7718937000026926,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,1.3649242000101367,1.3649242000101367,0.0,99842760.0
omp,strong,0.25,359,90,3,1,2,2,0.9333333333333333,0.17172519999439828,0.17172519999439828,0.0,6235830.0
omp,strong,0.5,718,180,3,1,2,2,0.9666666666666667,0.5501368999975966,0.5501368999975966,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,2,2,0.9740740740740741,1.1120555999950739,1.1120555999950739,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,2,2,0.9861111111111112,2.023598800005857,2.023598800005857,0.0,99842760.0
omp,strong,0.25,359,90,3,1,4,4,0.9333333333333333,0.3057704999955604,0.3057704999955604,0.0,6235830.0
omp,strong,0.5,718,180,3,1,4,4,0.9666666666666667,1.1912661000096705,1.1912661000096705,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,4,4,0.9740740740740741,2.7451541000045836,2.7451541000045836,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,4,4,0.9861111111111112,4.820735600005719,4.820735600005719,0.0,99842760.0
omp,strong,0.25,359,90,3,1,8,8,0.9333333333333333,0.31633139999757987,0.31633139999757987,0.0,6235830.0
omp,strong,0.5,718,180,3,1,8,8,0.9666666666666667,1.202610399996047,1.202610399996047,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,8,8,0.9740740740740741,2.7034577000013087,2.7034577000013087,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,8,8,0.9861111111111112,4.808471600001212,4.808471600001212,0.0,99842760.0
omp,strong,0.25,359,90,3,1,16,16,0.9333333333333333,0.31530049999128096,0.31530049999128096,0.0,6235830.0
omp,strong,0.5,718,180,3,1,16,16,0.9666666666666667,1.2244920999946771,1.2244920999946771,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,16,16,0.9740740740740741,2.7248938999982784,2.7248938999982784,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,16,16,0.9861111111111112,4.867564100000891,4.867564100000891,0.0,99842760.0
